author:ID(Author)
"""Colored Quartet"" (name unknown)"
"Aaberg, J. C. (Jens Christian)"
"Barrow, Sarah L."
"Barrows, David P."
"Barrows, E. P. (Elijah Porter)"
"Barrus, Clara"
"Barry, Fanny"
"Barry, J. G. H. (Joseph Gayle Hurd)"
"Barry, John D. (John Daniel)"
"Barry, Joseph"
"Barrère, Albert"
"Barrès, Maurice"
"Barth, Christian Gottlob"
"Bartholdt, Richard"
"Bartholomaeus, Anglicus, active 13th century"
"Bartholomew, A. T. (Augustus Theodore)"
"Bartholomew, J. G. (John George)"
"Bartholomew, Stephen"
"Bartlett, Alden Eugene"
"Bartlett, D. W. (David W.)"
"Bartlett, Frederick Orin"
"Bartlett, John Russell"
"Bartlett, Paul Alexander"
"Bartlett, Steven J."
"Bartlett, Vernon"
"Bartlett, W. C. (William Chauncey)"
"Bartlett, Willard"
"Bartley, James Avis"
"Bartley, Nalbro"
"Bartol, C. A. (Cyrus Augustus)"
"Barton, Clara"
"Barton, Frank Townend"
"Barton, George A. (George Aaron)"
"Barton, Roy Franklin"
"Bartrum, Edward"
"Bartsch, Rudolf Hans"
"Barué, Sulpice"
"Barzini, Luigi"
"Bascom, Caroline Crowninshield"
"Bashford, H. H. (Henry Howarth), Sir"
"Bashkirtseff, Marie"
"Basile, Giambattista"
"Baskerville, Beatrice C."
"Bass, Cora C."
"Bass, William Wallace"
"Bassett, John Spencer"
"Bassett, Sara Ware"
"Bassewitz, Gerdt von"
"Bassnett, Thomas"
"Bastiaanse, Frans"
"Bastian, H. Charlton"
"Bastianelli, Giannotto"
"Bastiat, Frédéric"
"Bastide, Charles"
"Bastin, S. Leonard"
"Bastos, Teixeira"
"Bate, Henry"
"Bate, John"
"Bateman, Frederick, Sir"
"Bateman, H. M. (Henry Mayo)"
"Bateman, Jas. (James)"
"Bates, Arlo"
"Bates, Clara Doty"
"Bates, E. Katherine (Emily Katherine)"
"Bates, Ernest Stuart"
"Bates, Gordon"
"Bates, Harry"
"Bates, Henry Walter"
"Bates, Joseph"
"Bates, Katharine Lee"
"Bates, Loïs"
"Bateson, William"
"Bath, W. Harcourt"
"Batres Jáuregui, Antonio"
"Battell, Andrew"
"Batten, John M. (John Mullin)"
"Battersby, H. S. (Hannah S.)"
"Battershall, Jesse P. (Jesse Park)"
"Battison, Edwin A."
"Batz-Trenquelléon, Charles de"
"Baucher, François"
"Baudelaire, Charles"
"Baudesson, Henry"
"Baudissin, Wolf Ernst Hugo Emil, Graf von"
"Bauditz, Sophus"
"Baudiš, Josef"
"Bauer, Max"
"Baughan, Edward Algernon"
"Baughan, Rosa"
"Baum, L. Frank (Lyman Frank)"
"Baum, Oskar"
"Baum, Paull F. (Paull Franklin)"
"Bauman, G. A."
"Baumhoff, Martin A."
"Bavinck, Herman"
"Bax, Clifford"
"Bax, Ernest Belfort"
"Baxter, Beverley"
"Baxter, Leon H."
"Baxter, Richard"
"Bayles, W. Harrison (William Harrison)"
"Bayley, Abner"
"Bayley, Emilius"
"Bayley, Harold"
"Bayliss, Clara Kern"
"Bayliss, W. D."
"Bayly, A. Eric"
"Bayne, A. D."
"Bayne, Mary Addams"
"Bayne, Samuel G. (Samuel Gamble)"
"Bazancourt, César Lecat, baron de"
"Bazin, René"
"Bazzero, Ambrogio"
"Bazzoni, Giambattista"
"Beach, Belle"
"Beach, Charles Amory"
"Beach, Edward L. (Edward Latimer)"
"Beach, Rex"
"Beach, Seth Curtis"
"Beadle, Charles"
"Beal, F. E. L. (Foster Ellenborough Lascelles)"
"Beal, W. J. (William James)"
"Bealby, J. T. (John Thomas)"
"Beale, Anne"
"Beale, Charles Willing"
"Beale, Sophia"
"Beals, Christine"
"Beames, John"
"Beamish, Richard Joseph"
"Bean, C. E. W. (Charles Edwin Woodrow)"
"Beard, Adelia B. (Adelia Belle)"
"Beard, Charles A. (Charles Austin)"
"Beard, Charles"
"Beard, Daniel Carter"
"Beard, James Melville"
"Beard, Lina"
"Beard, Patten"
"Beard, Sidney Hartnoll"
"Beardslee, Clark S. (Clark Smith)"
"Beardsley, Aubrey"
"Bearne, Catherine Mary"
"Beasley, Frederic W."
"Beasley, T. D. (Thomas Dykes)"
"Beatson, A. M."
"Beattie, James"
"Beatty, John W."
"Beatty, John"
"Beatty, Sir Kenneth James"
"Beatty, William"
"Beauchesne, A. de (Alcide)"
"Beaufort d’Hautpoul, Anne Marie, comtesse de"
"Beaufort, H. L. de (Henri Louis)"
"Beaugrand, Honoré"
"Beaumarchais, Pierre Augustin Caron de"
"Beaume, Georges"
"Beaumont, Charles"
"Beaumont, Francis"
"Beaumont, Grace"
"Beaumont, Gustave de"
"Beaunier, André"
"Beauregard, G. T. (Gustave Toutant)"
"Beavan, F. (Frederick), Mrs."
"Beaverbrook, Max Aitken, Baron"
"Beazley, C. Raymond (Charles Raymond)"
"Bebel, August"
"Bechdolt, Frederick R. (Frederick Ritchie)"
"Becher, Johannes Robert"
"Bechstein, Johann Matthäus"
"Bechstein, Ludwig"
"Bechtel, John Hendricks"
"Beck, C. C. (Charles Clarence)"
"Beck, James M. (James Montgomery)"
"Beck, L. Adams (Lily Adams)"
"Becke, Louis"
"Becker, Bernard Henry"
"Becker, Carl Heinrich"
"Becker, Carl L. (Carl Lotus)"
"Becker, Julius Maria"
"Becker, Tracy Chatfield"
"Beckett, William"
"Beckford, William"
"Beckman, Johann"
"Becq de Fouquières, L. (Louis)"
"Beddard, Frank E. (Frank Evers)"
"Beddoes, Thomas Lovell"
"Bede, Cuthbert"
"Bede, the Venerable, Saint"
"Bedford, H. Louisa"
"Bedford-Jones, H. (Henry)"
"Bedini, Silvio A."
"Bee, James W."
"Beebe, Henry S."
"Beebe, Iola"
"Beebe, Mabel Borton"
"Beebe, William"
"Beech, Franklin"
"Beecham, John Charles"
"Beecher, Catharine Esther"
"Beecher, Edward"
"Beecher, Henry Ward"
"Beeching, H. C. (Henry Charles)"
"Beeckman, Ross"
"Beede, Clara Frances McKee"
"Beedham, R. J."
"Beekman, A. A. (Anton Albert)"
"Beeks, James C."
"Beeman, Herbert"
"Been, Johannes Hendrik"
"Beer, Margrieta"
"Beer, Max"
"Beer-Hofmann, Richard"
"Beerbohm, Julius"
"Beerbohm, Max, Sir"
"Beers, Clifford Whittingham"
"Beers, Fannie A."
"Beers, Henry A. (Henry Augustin)"
"Beers, R. W."
"Beesley, Lawrence"
"Beesly, A. H. (Augustus Henry)"
"Beesly, Edward Spencer"
"Beeston, Joseph Lievesley"
"Beethoven, Ludwig van"
"Beeton, Mrs. (Isabella Mary)"
"Begbie, Harold"
"Behn, Aphra"
"Behnke, Emil"
"Behnsch, Ottomar"
"Beibitz, J. H. (Joseph Hugh)"
"Beirão, Mário Pires Gomes"
"Beland, Henri Severin"
"Belasco, David"
"Belch, William"
"Belcher, Joseph"
"Belcourt, N. A. (Napoléon-Antoine)"
"Belgioioso, Cristina"
"Belgrave, Dalrymple J."
"Belisle, D. W. (David W.)"
"Belknap, Helen Olive"
"Bell, Aubrey F.G."
"Bell, Clive"
"Bell, Edward Allen"
"Bell, F. McKelvey (Frederick McKelvey)"
"Bell, Florence Eveleen Eleanore Olliffe, Lady"
"Bell, George W."
"Bell, Gertrude Margaret Lowthian"
"Bell, Henry Glassford"
"Bell, J. J. (John Joy)"
"Bell, Joseph"
"Bell, Lilian"
"Bell, Louis"
"Bell, Lucia Chase"
"Bell, M. C."
"Bell, Malcolm"
"Bell, Mrs. Arthur G."
"Bell, Sanford"
"Bell, T. F."
"Bell, William Dixon"
"Bellamy, Edward"
"Bellamy, Thomas, of Guernsey"
"Bellasis, Edward"
"Bellett, J. G. (John Gifford)"
"Bellew, Frank"
"Bellinger, Martha Idell Fletcher"
"Bellman, Carl Michael"
"Belloc, Hilaire"
"Belo, Francesco"
"Belt, Thomas"
"Beltramelli, Antonio"
"Bely, Andrey"
"Bemister, Margaret"
"Benamozegh, Elia"
"Benavente, Jacinto"
"Benchley, Robert"
"Bender, Ida C. (Ida Catherine)"
"Bender, Millicent Schwab"
"Benecke, George Friedrich"
"Benedek, Elek"
"Beneden, P. J. Van"
"Benedict, Bertram"
"Benedict, Francis Gano"
"Benedict, Ralph Paine"
"Benedictsson, Victoria"
"Benedix, Roderich"
"Beneke, F. W. (Friedrich Wilhelm)"
"Benezet, Anthony"
"Benham, William"
"Beniczkyné Bajza, Lenke"
"Benitez, Conrado O."
"Benjamin, S. G. W. (Samuel Greene Wheeler)"
"Benjamin, of Tudela, active 12th century"
"Benn, Alfred William"
"Benn, Gottfried"
"Bennet, Robert Ames"
"Bennett, Alexander Hughes"
"Bennett, Arnold"
"Bennett, Charles E. (Charles Edwin)"
"Bennett, Charles H. (Charles Henry)"
"Bennett, Cyril"
"Bennett, E. N."
"Bennett, Edward T."
"Bennett, Edward Turner"
"Bennett, Emerson"
"Bennett, Ernest Nathaniel, Sir"
"Bennett, Ethel Hume"
"Bennett, George Matthews"
"Bennett, Henry Holcomb"
"Bennett, Hugh Garner"
"Bennett, John"
"Bennett, R. A. R. (Reginald Arthur Renaud)"
"Bennett, Rolf"
"Bennett, Virginia"
"Bennett, W. H. (William Henry)"
"Bennion, Adam S. (Adam Samuel)"
"Bennitt, Ralph"
"Benoît, Pierre"
"Bensel, J. A. (John Anderson)"
"Benson, Albert H."
"Benson, Arthur Christopher"
"Benson, B. K. (Blackwood Ketcham)"
"Benson, E. F. (Edward Frederic)"
"Benson, Edwin"
"Benson, George"
"Benson, Irene Elliott"
"Benson, James W., active 1857-1887"
"Benson, Luther"
"Benson, Robert Hugh"
"Benson, Roy"
"Benson, Samuel"
"Benson, Stella"
"Benson, William"
"Bensusan, S. L. (Samuel Levy)"
"Bent, Arthur Cleveland"
"Bent, J. Theodore (James Theodore)"
"Bente, F. (Friedrich)"
"Bentham, Jeremy"
"Bentley, Charles S."
"Bentley, E. C. (Edmund Clerihew)"
"Bentley, Mildred Maddocks"
"Bentley, William E."
"Benton, Caroline French"
"Benton, Elbert Jay"
"Benton, Frank"
"Benton, Joel"
"Benton, Rita"
"Benton, Thomas Hart"
"Bentwich, Norman"
"Bentzon, Th."
"Benwell, John"
"Benét, Stephen Vincent"
"Benét, William Rose"
"Berchet, Giovanni"
"Berchet, Guglielmo"
"Berchon, Charles"
"Bercovici, Konrad"
"Berczik, Árpád"
"Berding, Frans"
"Berdoe, Edward"
"Berens, E. M."
"Berens, Edward"
"Berens, Lewis Henry"
"Berenson, Bernard"
"Beresford, Charles William De la Poer Beresford, Baron"
"Beresford, J. D. (John Davys)"
"Bergen, Fanny D. (Fanny Dickerson)"
"Bergengren, Ralph"
"Berger, Edward William"
"Berger, Ludwig"
"Bergerat, Emile"
"Bergh van Eysinga-Elias, Jeanette van den"
"Bergman, Hjalmar"
"Bergman, Johan Albert"
"Bergs, Arveds Karlis Kristaps"
"Bergson, Henri"
"Beringer, C. (Cornelius)"
"Berkebile, Donald H."
"Berkeley, George"
"Berkman, Alexander"
"Berlet, Bruno"
"Berlioz, Hector"
"Berman, Louis"
"Bermbach, Willibald"
"Bernard, Charles de"
"Bernard, Claude"
"Bernard, F."
"Bernard, Frédéric"
"Bernard, Richard Boyle"
"Bernard, W. D.‏ (William Dallas)‏"
"Bernard, of Clairvaux, Saint"
"Bernays, Edward L."
"Berndtson, Fredrik"
"Berne-Bellecour, Jean"
"Bernhard, Duke of Saxe-Weimar-Eisenach"
"Bernhardi, Friedrich von"
"Bernhardt, Sarah"
"Bernier, Hector"
"Bernoulli, Daniel"
"Bernstein, Aaron David"
"Bernstein, Aaron"
"Bernstein, Eduard"
"Bernstein, Herman"
"Bernstorff, Johann Heinrich, Graf von"
"Berquin, M. (Arnaud)"
"Berry, Christopher"
"Berry, Don"
"Berry, Elmer"
"Berry, Flora E."
"Berry, James"
"Berry, R. L. (Robert Lee)"
"Berryman, John"
"Bersezio, Vittorio"
"Bertelli, Luigi"
"Bertens, H."
"Berthier, Ferdinand"
"Berthier, Louis-Alexandre"
"Berthold, Victor Maximilian"
"Berthoud, Eugène"
"Berthoud, S. Henry (Samuel Henry)"
"Bertini, Giuseppe"
"Bertolini, Gino"
"Bertram, Robert J. S."
"Bertrana, Prudenci"
"Bertrand, A. [Pseudonym.]"
"Bertrand, Aloysius"
"Bertrand, Huguette"
"Bertrand, Joseph"
"Bertrand, Louis"
"Berze Nagy, János"
"Berzelius, Jöns Jakob, friherre"
"Besant, Annie"
"Besant, W. H. (William Henry)"
"Besant, Walter"
"Beskow, Elisabeth"
"Besnier, Pierre"
"Bessette, Arsène"
"Best, Evangel Allena Champlin"
"Best, Harry"
"Best, Pieter"
"Beste, Henry Digby"
"Beston, Henry"
"Betanzos, Juan de"
"Betham, Matilda"
"Betham-Edwards, Matilda"
"Bethge, Hans"
"Bethune, John Elliot Drinkwater"
"Bethusy-Huc, Valeska, Gräfin von"
"Betson, Thomas"
"Bettany, G. T. (George Thomas)"
"Bettauer, Hugo"
"Bettencourt, Emiliano Augusto de"
"Bettencourt, José de Sá"
"Bettoni, Paolo"
"Betts, George Herbert"
"Betts, Lillian William"
"Betz, Gerardus Henri"
"Bevan, J. O. (James Oliver)"
"Bevan, Tom"
"Bevan, William"
"Beveridge, Albert J. (Albert Jeremiah)"
"Beveridge, Henry"
"Beverley, Robert"
"Bewick, Thomas"
"Bewsher, Frederick William"
"Bewsher, M. E., Mrs."
"Bewsher, Paul"
"Beyens, baron (Eugène-Napoléon)"
"Beyer, H. Otley (Henry Otley)"
"Beyerlein, Franz Adam"
"Beynon, William George Laurence, Sir"
"Bezold, Gustav von"
"Bianchi, Arturo"
"Bianco, Margery Williams"
"Biancolli, Louis"
"Biao, Xuahua"
"Biart, Lucien"
"Bibaud, Maximilien (François Marie Uncas Maximilien)"
"Bibb, Henry"
"Bibesco, Elizabeth"
"Bibra, Ernst, Freiherr von"
"Bichat, Xavier"
"Bicket, James"
"Biddle, Violet Purton"
"Biddulph, Elizabeth Philippa Yorke, baroness"
"Biddulph, J. (John)"
"Biddulph, T. T."
"Bidwell, Austin"
"Bidwell, Shelford"
"Biedenkapp, Georg"
"Bierbaum, Otto Julius"
"Bierce, Ambrose"
"Bierens de Haan, J. D. (Johannes Diderik)"
"Biernatzki, Johann Christoph"
"Bierwirth, Heinrich Conrad"
"Biese, Alfred"
"Bigandet, Paul Ambroise"
"Bigelow, Glenna Lindsley"
"Bigelow, Jacob"
"Bigelow, John"
"Bigelow, Mary Ann H. T. (Mary Ann Hubbard Townsend)"
"Bigelow, Maurice A. (Maurice Alpheus)"
"Biggers, Earl Derr"
"Bigges, Walter"
"Biggs, Charlotte"
"Biggs, William"
"Bigwood, Inez"
"Bilbrough, E. Ernest"
"Bilderdijk, Willem"
"Bilguer, Johann Ulrich"
"Bill, Ledyard"
"Billings, E. R."
"Billings, Josh"
"Bilse, Fritz Oswald"
"Binder, Eando"
"Bindloss, Harold"
"Binet, Alfred"
"Bingham, Clifton"
"Bingham, Edfrid A."
"Bingham, Hiram"
"Bingley, Thomas"
"Bingley, William"
"Bini, Carlo"
"Binning, Hugh"
"Binns, Charles Fergus"
"Binns, Henry Bryan"
"Binns, Ottwell"
"Bird, Arthur"
"Bird, Frederic Mayer"
"Bird, H. E. (Henry Edward)"
"Bird, Isabella L. (Isabella Lucy)"
"Bird, Richard"
"Bird, Robert Montgomery"
"Birdsall, Ralph"
"Birge, Julius Charles"
"Biriukov, Pavel  Ivanovich"
"Birkenhead, Frederick Edwin Smith, Earl of"
"Birkhead, Alice"
"Birkhead, Edith"
"Birmingham, George A."
"Birnbaum, Max"
"Birney, Catherine H."
"Birrell, Augustine"
"Birt, William Radcliff"
"Biré, Edmond"
"Bishop, Austin"
"Bishop, Farnham"
"Bishop, Giles"
"Bishop, Harry Coghill Watson"
"Bishop, Nathaniel H. (Nathaniel Holmes)"
"Bishop, Philip W."
"Bisiker, W. (William)"
"Bisland, Elizabeth"
"Bithell, Jethro"
"Bitmead, Richard"
"Bitting, A. W."
"Bitting, K. G. (Mrs. Katherine Golden)"
"Bixby, Jerome"
"Bixian, Zou"
"Bixler, William Allen"
"Bizet, Georges"
"Bizzarri, Alejandro"
"Björkman, Edwin"
"Björlin, Gustaf"
"Bjørnson, Bjørnstjerne"
"Black Hawk, Sauk chief"
"Black, C. B."
"Black, Edith Ferguson"
"Black, George Fraser"
"Black, Helen C."
"Black, Hugh"
"Black, Joseph"
"Black, Madeleine"
"Black, Margaret Moyes"
"Black, William"
"Blackbird, Andrew J."
"Blackburn, Douglas"
"Blackburn, Henry"
"Blackburn, Hugh"
"Blacker, J. F."
"Blacker, W. (William)"
"Blackford, Katherine M. H. (Katherine Melvina Huntsinger)"
"Blackford, Mrs. (Martha)"
"Blacklock, Ambrose"
"Blackmar, Frank W. (Frank Wilson)"
"Blackmore, R. D. (Richard Doddridge)"
"Blackmore, Richard, Sir"
"Blackstone, William, Sir"
"Blackwell, John, Alun"
"Blackwell, Sarah Ellen"
"Blackwood, Algernon"
"Blackwood, Robert Melvin"
"Blade, Alexander"
"Blade, Zoë"
"Blades, Leslie Burton"
"Blades, William"
"Blagdon, Francis William"
"Blaikie, William Garden"
"Blaikie, William"
"Blain, Mary E."
"Blaine, James Gillespie"
"Blaine, John"
"Blair, D. B."
"Blaisdell, Albert F. (Albert Franklin)"
"Blaisdell, Etta Austin"
"Blaisdell, Mary Frances"
"Blake, Emily Calvin"
"Blake, Henry Arthur, Sir"
"Blake, J. P. (John Percy)"
"Blake, M. M. (Matilda Maria)"
"Blake, Robert Bruce"
"Blake, William"
"Blakely, Gilbert Sykes"
"Blakeslee, B. F. (Bernard F.)"
"Blakman, John"
"Blanc, Henry"
"Blanch, Luigi"
"Blanchan, Neltje"
"Blanchard, Amy Ella"
"Blanchard, C. J."
"Blanchard, Lucy Mansfield Blanchard"
"Blanchard, Phyllis Mary"
"Blanche, August"
"Blanche, Émile"
"Blanckley, Thomas Riley"
"Blancké, Wilton W. (Wilton Wallace)"
"Blanco, A. E."
"Bland, Alfred Edward"
"Bland, John Salkeld"
"Bland, Salem Goldworth"
"Blane, Gilbert"
"Blaney, Henry R."
"Blank, Clair"
"Blasco Ibáñez, Vicente"
"Blasco, Cosme"
"Blass, Ernst"
"Blass, Friedrich"
"Blatch, Harriot Stanton"
"Blatchford, Robert"
"Blavatsky, H. P. (Helena Petrovna)"
"Bleackley, Horace"
"Blease, W. Lyon (Walter Lyon)"
"Bledsoe, Albert Taylor"
"Blessington, Marguerite, Countess of"
"Blewett, Jean"
"Bleyer, Willard Grosvenor"
"Blicher, Steen Steensen"
"Blicher-Clausen, Jenny"
"Blicq, A. Stanley"
"Bligh, William"
"Blind, Mathilde"
"Blink, Hendrik"
"Blish, James"
"Bliss, Sylvester"
"Bloch, Robert"
"Bloem, Walter"
"Blok, A."
"Blom, E. J. (Erik Johan)"
"Blomberg, Con"
"Bloodgood, Wheeler P."
"Bloomfield, Leonard"
"Bloomfield, Maurice"
"Bloomfield, Nathaniel"
"Bloomfield, Robert"
"Blore, George Henry"
"Bloss, C. A. (Celestia Angenette)"
"Blossom, Henry"
"Blot, Pierre"
"Bloundelle-Burton, John"
"Blount, James H. (James Henderson)"
"Blount, Thomas"
"Bloxam, Matthew Holbeche"
"Bloy, Léon"
"Bluett, Antony"
"Blum, Hans"
"Blumauer, Aloys"
"Blumenthal, Daniel"
"Blumentritt, Ferdinand"
"Blunden, Edmund"
"Blunt, Anne, Lady"
"Blunt, John Henry"
"Blunt, Wilfrid Scawen"
"Bly, Nellie"
"Blyth, Alexander Wynter"
"Blyth, James"
"Blythe, Samuel G. (Samuel George)"
"Blythe, William LeGette"
"Blémont, Emile"
"Boak, Arthur E. R. (Arthur Edward Romilly)"
"Boardman, Timothy"
"Boare, G."
"Boas, Franz"
"Bobbitt, John Franklin"
"Bobek, Karl Joseph"
"Bocage, Manuel Maria Barbosa du"
"Boccaccio, Giovanni"
"Boccardi, Alberto"
"Bock, Eugène de"
"Boddy, Evan Martlett"
"Bode, Wilhelm"
"Bodelschwingh, Gustav von"
"Bodenheim, Maxwell"
"Bodin, Jean"
"Boeke, J."
"Boelcke, Oswald"
"Boer, R. C. (Richard Constant)"
"Boer, T. Tj. de"
"Boerhaave, Herman"
"Boerker, Richard H. D. (Richard Hans Douai)"
"Boettiger, Louis A. (Louis Angelo)"
"Bogardus, C. A."
"Bogart, John"
"Boggess, Arthur Clinton"
"Bogue, Benjamin Nathaniel"
"Bohler, Otto"
"Bohn, Henry G. (Henry George)"
"Bohr, Niels"
"Boigne, Louise-Eléonore-Charlotte-Adélaide d'Osmond, comtesse de"
"Boileau Despréaux, Nicolas"
"Boillot, Léon"
"Bois, Gaylord Du"
"Boisgelin de Kerdu, Pierre Marie Louis de"
"Boisjoslin, Jacques de"
"Boito, Arrigo"
"Bojer, Johan"
"Bok, Edward William"
"Boker, George H. (George Henry)"
"Bolanden, Conrad von"
"Bolas, Bernard D."
"Boldrewood, Rolf"
"Boldt, Paul"
"Bolen, C. Edgar"
"Bolingbroke, Henry St. John, Viscount"
"Bolles, Albert Sidney"
"Bolles, John R. (John Rogers)"
"Bolton, Charles E. (Charles Edward)"
"Bolton, Sarah Knowles"
"Bolwell, F. A."
"Bompas, Cecil Henry"
"Bompas, Charlotte Selina"
"Bonaparte, Pierre Napoléon, prince"
"Bonar, Andrew A. (Andrew Alexander)"
"Bonaventura, Arnaldo"
"Bonczar, Thomas P."
"Bond, A. Russell (Alexander Russell)"
"Bond, Francis"
"Bond, Frederick Bligh"
"Bond, John"
"Bond, Nelson Slade"
"Bondesen, Ingvor"
"Bone, David Drummond"
"Bone, David W. (David William)"
"Bone, Gertrude"
"Bone, Jesse F. (Jesse Franklin)"
"Bone, Muirhead, Sir"
"Bonfadini, Romualdo"
"Bonhote, Mrs. (Elizabeth)"
"Bonneau, Alcide"
"Bonnefoux, Pierre-Marie-Joseph, baron de"
"Bonnell, Jerry T."
"Bonner, Geraldine"
"Bonner, Mary Graham"
"Bonner, Richard"
"Bonney, T. G. (Thomas George)"
"Bonnières, Robert de"
"Bonnycastle, Richard Henry, Sir"
"Bonnycastle, Sir Richard Henry"
"Bonpland, Aimé"
"Bonsels, Waldemar"
"Bonte, Willard"
"Bontekoe, Willem Ysbrantsz."
"Bontempelli, Massimo"
"Bookwalter, John W. (John Wesley)"
"Boole, George"
"Boole, Mary Everest"
"Boom, Harm"
"Boone, Cheshire Lowton"
"Boone, Silas K."
"Booth, Bramwell"
"Booth, Catherine Mumford"
"Booth, Edward C."
"Booth, Evangeline"
"Booth, George"
"Booth, Maud Ballington"
"Booth, R. A."
"Booth, Robert B."
"Booth, William"
"Booth-Tucker, Frederick St. George De Lautour"
"Boothby, Guy"
"Borchardt, Ludwig"
"Bordeaux, Henry"
"Bordes, Charles"
"Bore, Henry"
"Boreham, Frank"
"Borel, Henri Jean François"
"Borel, Pétrus"
"Borghese, Scipione"
"Borland, Robert"
"Bornemann, Johann Gottfried"
"Borrow, George"
"Bos, J. Ritzema (Jan Ritzema)"
"Bosboom-Toussaint, A. L. G. (Anna Louisa Geertruida)"
"Bosch, G."
"Boschère, Jean de"
"Bose, Jagadis Chandra"
"Bosher, Kate Langley"
"Bosson, Charles P."
"Bostwick, Arthur E. (Arthur Elmore)"
"Boswell, Charles Stuart"
"Boswell, James"
"Bosworth, Annie E."
"Botelho, Abel Acácio de Almeida"
"Botev, Khristo"
"Bothén, Gustaf Herman"
"Boto, António Tomás"
"Botsford, George Willis"
"Bott, Alan"
"Botta, Anne C. Lynch (Anne Charlotte Lynch)"
"Botta, Carlo"
"Bottarelli, F."
"Bottome, Phyllis"
"Bottomley, Gordon"
"Bottone, Selimo Romeo"
"Bottrell, William"
"Bouant, Emile"
"Boucher, Anthony"
"Boucher-Belleville, Jean-Philippe"
"Boucherie, Anthony"
"Bouchor, Maurice"
"Bouchot, Henri"
"Boucicault, Dion"
"Boudreaux, F. J."
"Bougainville, Louis-Antoine de, comte"
"Bougeant, G.-H. (Guillaume-Hyacinthe)"
"Bouilly, Jean Nicolas"
"Boulenger, George Albert"
"Boulenger, Jacques"
"Boulger, Demetrius Charles"
"Boulnois, H. Percy"
"Bouniol, Bathild"
"Bourdon, Henri"
"Bourgelat, Claude"
"Bourges, Elémir"
"Bourget, Paul"
"Bourgogne, Adrien-Jean-Baptiste-François"
"Bourguignon, Honoré"
"Bourinot, John George"
"Bourke, John Gregory"
"Bourne, Benjamin Franklin"
"Bourne, H. R. Fox (Henry Richard Fox)"
"Bourne, John, C.E."
"Bourneville, Désiré Magloire"
"Bouroff, Basil A."
"Bourrienne, Louis Antoine Fauvelet de"
"Boussenard, Louis"
"Boutell, Charles"
"Bouton, John Bell"
"Bouton, S. Miles (Stephen Miles)"
"Boutwell, George S. (George Sewall)"
"Bouvier, Alexis"
"Bouvier, J. B. (Jean Baptiste)"
"Bova, Ben"
"Bovet, Marie-Anne de"
"Bowdich, Mrs."
"Bowditch, Charles P. (Charles Pickering)"
"Bowditch, William I. (William Ingersoll)"
"Bowe, John"
"Bowen, Benjamin Franklin"
"Bowen, Clarence Winthrop"
"Bowen, Francis"
"Bowen, James L. (James Lorenzo)"
"Bowen, Marjorie"
"Bowen, Robert Sidney"
"Bowen, Sue Petigru"
"Bowen, William"
"Bower, B. M."
"Bower, John Graham"
"Bower, Selina A."
"Bowers, John Hugh"
"Bowes, Joseph"
"Bowie, Henry P."
"Bowker, James"
"Bowker, R. R. (Richard Rogers)"
"Bowles, William Lisle"
"Bowling, Edward Woodley"
"Bowling, John (Novelist)"
"Bowman, Anne, active 19th century"
"Bowman, Earl Wayland"
"Bowman, Florence L."
"Bowman, Isa"
"Bowman, Isaiah"
"Bowring, John"
"Boy-Ed, Ida"
"Boyd, Andrew Kennedy Hutchison"
"Boyd, E. E., Mrs."
"Boyd, Ernest Augustus"
"Boyd, James P. (James Penny)"
"Boyd, Lucius J."
"Boyd, Mary Stuart"
"Boyd, Waldo T."
"Boyden, Wallace C. (Wallace Clarke)"
"Boyer, Abel"
"Boyer, Charles S. (Charles Sumner)"
"Boyesen, Hjalmar Hjorth"
"Boykin, Anne"
"Boykin, Edward M."
"Boylan, Thomas"
"Boyle, Frederick"
"Boyle, James"
"Boyle, John"
"Boyle, Robert"
"Boyles, Virgil D. (Virgil Dillin)"
"Boylesve, René"
"Boynton, Edward C. (Edward Carlisle)"
"Boynton, Henry V. (Henry Van)"
"Boynton, Henry Walcott"
"Boynton, Percy Holmes"
"Boys, C. V. (Charles Vernon)"
"Boys, John"
"Boyton, Paul"
"Brabourne, Edward Hugessen Knatchbull-Hugessen, Baron"
"Braby, Maud Churton"
"Bracco, Roberto"
"Brace, Charles Loring"
"Brachvogel, Carry"
"Brackenridge, H. H. (Hugh Henry)"
"Brackett, Anna C. (Anna Callender)"
"Brackett, Edward Augustus"
"Brackett, Leigh Douglass"
"Bradbury, Ray"
"Braddock, Gordon"
"Braddon, M. E. (Mary Elizabeth)"
"Braddon, Mary Elisabeth"
"Braden, James A. (James Andrew)"
"Bradford, Amory H. (Amory Howe)"
"Bradford, Charles Barker"
"Bradford, Sarah H. (Sarah Hopkins)"
"Bradford, William"
"Bradlaugh, Charles"
"Bradley, A. C. (Andrew Cecil)"
"Bradley, A. G. (Arthur Granville)"
"Bradley, Alice"
"Bradley, Glenn D. (Glenn Danford)"
"Bradley, Harriett"
"Bradley, John William"
"Bradley, Marion Zimmer"
"Bradley, Mary Hastings"
"Bradley, Milton"
"Bradley, Richard"
"Bradley, Zorro A."
"Bradshaw, William Richard"
"Brady, Cyrus Townsend"
"Brady, Loretta Ellen"
"Brady, Old King"
"Brady, Robert"
"Braesch, F. (Frédéric)"
